State,County,CountyFIPS,Diagnosed,Obesity,PhysicalInactivity,Population_Aged_65_or_Older,Population_Below_Poverty,Population_Children_in_Poverty,Population_Enrolled_in_Free_or_Reduced_Lunch,Population_Food_Insecurity,Population_Minority,Population_No_Health_Insurance,Population_No_High_School_Diploma,Number_of_Primary_Care_Physicians,Newly_Diagnosed,Crowding,Unemployed,Severe_Housing_Cost_Burden,Overall_Household_Composition_&_Disability,Overall_Housing_Type_&_Transportation
Washington,Jefferson County,30103.0,55.0,105.7,101.2,0.9946,0.3962,16.6,48.246241947,13.2,0.3811,5.4,0.0468,28.0,10.1,0.2203,0.6376,13.719953165,0.2585,0.3607
Iowa,Ida County,48431.0,73.2,166.4,133.5,0.8138,0.2175,13.6,42.883548983,8.4,0.0809,3.5,0.0942,2.0,11.3,0.078,0.2745,4.8473967684,0.5046,0.1649
Minnesota,Lake County,48173.0,75.3,176.4,141.8,0.9233,0.1048,8.9,24.622030238,8.8,0.0984,4.2,0.0131,10.0,11.1,0.155,0.3121,10.760741033,0.1636,0.3095
Colorado,Douglas County,30109.0,81.9,146.3,113.2,0.0331,0.0013,2.6,11.77968097,5.8,0.5199,2.8,0.0019,244.0,10.4,0.1888,0.1245,10.268725176,0.0678,0.0376
New Mexico,Taos County,48155.0,91.4,171.1,145.4,0.8988,0.7624,26.6,90.664318067,14.0,0.9472,9.7,0.4164,29.0,24.0,0.518,0.8611,13.323770146,0.8243,0.6606
California,Marin County,46069.0,93.5,178.6,154.6,0.7599,0.0672,5.8,28.638272346,7.4,0.6788,3.5,0.1098,384.0,11.8,0.8828,0.2188,18.655032199,0.0751,0.6985
Montana,Missoula County,30033.0,96.4,198.8,184.5,0.185,0.5076,11.8,21.832372381,10.2,0.3613,6.7,0.0213,124.0,12.1,0.4056,0.2924,14.898424501,0.0287,0.6714
Wisconsin,St. Croix County,2164.0,96.7,277.2,196.1,0.1035,0.0054,4.5,21.235673824,6.5,0.1802,3.8,0.0089,45.0,16.9,0.1888,0.071,8.599479882,0.1493,0.0567
Kentucky,Mercer County,48101.0,97.5,190.5,163.5,0.4817,0.5831,18.6,54.575457546,13.5,0.3165,6.2,0.6472,5.0,14.1,0.1888,0.9054,8.8042970574,0.4136,0.1369
Missouri,Morgan County,28055.0,98.4,194.5,170.7,0.8758,0.8755,22.4,75.675675676,17.4,0.1678,20.9,0.8685,5.0,13.2,0.1888,0.2188,11.530708238,0.7794,0.5463
Missouri,Andrew County,48433.0,101.7,191.1,163.9,0.5021,0.1115,10.8,32.952973721,11.0,0.1366,5.7,0.1971,2.0,13.1,0.2964,0.1484,9.1496394231,0.2693,0.0423
Minnesota,Rice County,48345.0,102.4,170.9,167.6,0.1974,0.2312,8.9,41.337755666,7.1,0.518,4.8,0.3069,63.0,15.1,0.518,0.2054,10.50866899,0.0812,0.8723
South Dakota,Harding County,49031.0,105.1,210.8,190.4,0.4715,0.1048,14.5,24.0,8.4,0.313,6.5,0.1614,84.43614372109570,13.4,0.1888,0.0646,5.9770114943,0.0516,0.3025
Colorado,Rio Blanco County,48045.0,107.1,214.5,182.1,0.1786,0.2803,10.9,33.568075117,11.0,0.476,8.4,0.1347,10.0,15.5,0.7622,0.449,11.723570547,0.0939,0.6549
Oregon,Tillamook County,48447.0,111.7,214.4,189.4,0.9035,0.5127,15.5,47.341772152,12.7,0.4849,7.0,0.3209,19.0,15.6,0.8198,0.3838,10.097993467,0.6934,0.8612
Minnesota,Fillmore County,20101.0,115.4,245.2,224.1,0.7109,0.2497,11.2,26.775399252,8.3,0.0414,9.2,0.2413,8.0,10.3,0.4457,0.0949,8.4904541681,0.3537,0.4161
Florida,Sarasota County,41069.0,117.0,205.6,183.0,0.9962,0.1675,13.8,45.486949523,11.3,0.5084,11.0,0.1347,329.0,10.8,0.2964,0.3634,14.406237462,0.2104,0.4269
Rhode Island,Newport County,31057.0,117.6,435.4,388.3,0.7545,0.1115,13.9,31.394835577,8.6,0.453,3.8,0.0898,74.0,11.3,0.0981,0.3487,14.997922725,0.0996,0.4874
Wisconsin,Clark County,38033.0,123.8,360.8,292.6,0.3098,0.3497,21.1,53.009789627,9.3,0.2235,21.0,0.7791,8.0,10.8,0.8348,0.1245,8.9298655286,0.2681,0.7705
Iowa,Sac County,30075.0,124.7,296.6,302.6,0.8539,0.2239,14.0,48.864333947,7.6,0.1098,4.3,0.1522,6.0,10.8,0.078,0.1245,6.6303575657,0.4801,0.0236
Wisconsin,Lincoln County,8017.0,124.9,285.3,238.3,0.7249,0.1341,10.5,39.935882757,9.1,0.0856,3.8,0.2413,16.0,17.4,0.1888,0.2334,8.1652490887,0.1866,0.3082
Utah,Wasatch County,48359.0,125.4,284.2,226.4,0.0267,0.0567,6.2,29.127464879,9.4,0.5043,8.1,0.0334,17.0,13.8,0.8456,0.0159,11.738616203,0.0573,0.1646
Kansas,Rush County,48011.0,127.3,259.8,222.3,0.8933,0.1742,15.9,39.658444023,11.8,0.2085,5.4,0.4276,1.0,11.0,0.0322,0.1717,6.6811909949,0.3945,0.0258
Montana,Carbon County,32011.0,131.5,298.8,254.7,0.8956,0.1949,13.2,32.420429312,9.2,0.1585,6.9,0.0659,6.0,19.4,0.1223,0.2054,9.9333180041,0.2833,0.022
North Carolina,New Hanover County,30019.0,131.6,306.8,280.1,0.3566,0.6707,14.3,58.423330198,14.3,0.6049,9.9,0.1283,216.0,12.2,0.2964,0.6207,17.423346566,0.0707,0.6205
Montana,Jefferson County,46095.0,134.8,485.5,379.3,0.695,0.121,8.0,28.380634391,7.1,0.2426,6.1,0.0417,9.0,18.1,0.4056,0.3838,8.1182543407,0.1751,0.1328
Wisconsin,Grant County,46017.0,136.5,384.8,265.6,0.3451,0.5006,14.5,43.716690042,9.7,0.1162,6.2,0.1748,18.0,13.1,0.4056,0.1369,11.198511826,0.0417,0.6619
Minnesota,Faribault County,20033.0,137.3,278.6,253.3,0.8446,0.2854,13.6,44.819159335,9.3,0.3044,4.9,0.2232,8.0,10.2,0.0567,0.1484,8.1399317406,0.384,0.1894
Kansas,Smith County,38013.0,140.3,463.6,307.6,0.9628,0.3643,15.2,46.582733813,12.5,0.1324,8.6,0.1051,5.0,11.3,0.0172,0.1035,6.3994828701,0.4906,0.0223
New Mexico,Lincoln County,30059.0,140.6,335.8,278.4,0.9653,0.5962,28.6,83.59402155,12.3,0.7752,10.5,0.2305,9.0,14.9,0.6622,0.2924,10.674583123,0.3865,0.3301
New Mexico,Colfax County,30107.0,143.3,334.5,277.3,0.9312,0.8933,25.2,87.690432663,15.6,0.8953,6.0,0.4088,5.0,12.4,0.7622,0.9121,10.462594868,0.9312,0.9678
Minnesota,Houston County,21201.0,143.8,315.0,310.0,0.7036,0.0672,7.3,28.940763052,7.4,0.0554,4.5,0.049,10.0,20.3,0.043,0.0487,7.9275905119,0.1557,0.0872
Illinois,Lee County,49033.0,144.0,343.7,329.9,0.5441,0.2427,12.7,45.627470356,11.1,0.4394,3.6,0.433,23.0,10.3,0.2604,0.3121,9.4484629295,0.178,0.5266
Indiana,Martin County,20025.0,144.2,402.1,273.9,0.5441,0.336,14.1,49.410131853,13.1,0.022,6.5,0.6316,2.0,13.9,0.2964,0.1369,7.6787067441,0.7265,0.2178
Virginia,Fairfax County,48137.0,145.4,269.2,232.5,0.0869,0.0334,7.0,30.647924829,5.8,0.8742,8.2,0.1907,1274.0,17.8,0.8198,0.2745,12.229076953,0.0411,0.3254
Wisconsin,Walworth County,48125.0,146.0,310.2,267.3,0.3298,0.2943,9.4,38.390014011,8.3,0.4597,6.6,0.2964,41.0,22.5,0.4457,0.2745,12.233000074,0.1067,0.4285
Colorado,Kit Carson County,13265.0,146.1,233.8,204.9,0.4893,0.1949,15.5,59.633027523,9.5,0.6145,9.1,0.4562,4.0,16.4,0.078,0.3981,10.294117647,0.6902,0.4015
Wisconsin,Dane County,20083.0,146.5,363.7,238.0,0.0952,0.3061,8.6,28.56401165,7.8,0.5657,3.9,0.0201,711.0,17.3,0.4457,0.1369,12.773340258,0.0181,0.6546
Wisconsin,Marathon County,31073.0,146.6,365.0,300.1,0.3451,0.1497,7.8,34.60255555,8.6,0.3766,5.9,0.2165,133.0,13.8,0.5498,0.1717,8.8416187495,0.0914,0.2722
Nebraska,Cedar County,48109.0,148.5,303.8,258.3,0.7666,0.1341,9.5,42.586750789,9.8,0.0322,5.5,0.1522,1.0,19.0,0.043,0.0194,6.1469265367,0.3165,0.0156
Wisconsin,Washington County,38095.0,149.3,459.0,424.9,0.3664,0.0105,4.6,21.044745272,6.3,0.2337,3.8,0.0417,72.0,12.3,0.0567,0.1124,7.2843628269,0.079,0.0433
California,Placer County,41021.0,150.7,274.2,238.7,0.5635,0.0809,6.2,26.287555212,8.1,0.6536,4.0,0.049,495.0,13.9,0.5498,0.3981,14.564606742,0.1213,0.1974
Florida,Miami-Dade County,31049.0,150.8,381.1,329.8,0.2572,0.7045,19.9,67.735256853,10.3,0.9904,16.8,0.7924,2243.0,13.2,0.9545,0.6376,25.304486002,0.1388,0.8988
Wisconsin,Bayfield County,8033.0,151.2,308.6,234.0,0.9401,0.2803,17.5,50.252844501,11.0,0.476,6.5,0.0379,6.0,14.8,0.518,0.3634,9.105548236,0.2996,0.0732
South Dakota,Miner County,29227.0,151.7,295.5,262.4,0.7666,0.1341,14.6,22.625698324,8.5,0.1098,5.8,0.4852,1.0,14.9,0.5801,0.086,11.419068736,0.4225,0.092
Florida,Martin County,46073.0,152.9,291.5,273.7,0.9863,0.2175,17.3,42.354981084,11.1,0.5833,10.4,0.3069,105.0,28.5,0.4817,0.4691,14.09563541,0.2012,0.6912
Florida,Lee County,38023.0,154.6,448.1,363.0,0.9647,0.443,14.7,47.533285223,11.6,0.7151,13.3,0.4925,501.0,12.3,0.6313,0.5669,15.620909919,0.2798,0.6103
Wisconsin,Iron County,38027.0,154.8,500.9,424.9,0.9803,0.5006,17.6,49.237170596,13.5,0.0856,6.0,0.0834,3.0,13.6,0.6313,0.7726,12.386487468,0.6899,0.5256
California,Santa Barbara County,38047.0,155.2,403.5,326.3,0.185,0.5006,12.6,62.060268731,9.2,0.9039,10.0,0.8112,339.0,12.0,0.9898,0.6032,19.641755454,0.1086,0.9156
North Dakota,Lamoure County,31015.0,156.4,468.1,353.4,0.9064,0.2854,12.0,33.287101248,7.0,0.0497,3.9,0.6988,1.0,14.0,0.0134,0.0073,5.0837666089,0.1111,0.0213
Colorado,Chaffee County,56027.0,159.8,437.2,358.8,0.9035,0.1949,11.2,35.565356856,10.6,0.4718,10.0,0.1283,18.0,13.0,0.155,0.1035,13.709677419,0.2913,0.4881
Indiana,Spencer County,40025.0,161.4,318.1,301.4,0.5521,0.1497,9.3,36.509376891,11.1,0.1254,4.2,0.3384,7.0,17.0,0.155,0.2611,5.869916677,0.2203,0.1073
New York,New York County,20203.0,162.0,437.5,312.2,0.2748,0.6258,19.3,65.483893656,12.7,0.8946,5.2,0.5495,2256.0,12.1,0.9478,0.5344,19.745008584,0.0086,0.9736
Alaska,Denali Borough,48079.0,162.9,366.0,301.1,0.0022,0.6443,7.2,1.2084592145,15.1,0.5492,18.5,0.001,84.43614372109570,17.8,0.6049,0.1245,7.2135785007,0.0032,0.5536
California,Glenn County,8115.0,165.6,331.0,322.3,0.242,0.7395,17.2,69.729444835,13.6,0.8704,8.6,0.9472,4.0,11.4,0.8711,0.7092,19.51093151,0.8192,0.4871
Idaho,Blaine County,31063.0,168.8,657.0,480.5,0.419,0.443,7.7,27.561534058,8.9,0.6291,12.8,0.4629,24.0,14.0,0.3359,0.0433,13.084702908,0.3018,0.2518
Pennsylvania,Carbon County,20179.0,169.7,372.1,386.4,0.695,0.343,18.9,48.166922079,11.7,0.2716,4.2,0.3792,27.0,11.8,0.4056,0.7347,12.724382584,0.3247,0.2216
Wisconsin,Jefferson County,40057.0,171.2,358.7,296.4,0.2811,0.1261,7.9,36.357546177,8.3,0.3512,4.7,0.2305,38.0,15.1,0.4457,0.2054,10.000924015,0.1032,0.4311
Nebraska,Garfield County,31135.0,171.8,437.5,410.6,0.9723,0.0646,16.9,40.322580645,11.4,0.0369,3.8,0.0115,1.0,13.6,0.0981,0.0045,8.3044982699,0.5049,0.086
Colorado,Grand County,46049.0,172.8,484.5,326.8,0.2983,0.2659,9.0,29.082774049,8.7,0.4104,13.1,0.0213,10.0,12.2,0.5498,0.449,10.834432718,0.0073,0.4104
Oregon,Wasco County,48421.0,172.9,390.9,315.0,0.6851,0.4054,15.7,65.148063781,11.8,0.6336,7.8,0.6129,26.0,23.0,0.7622,0.3121,10.702541106,0.8548,0.9733
Wyoming,Albany County,48087.0,173.6,389.7,322.0,0.0331,0.8675,10.4,23.74260355,12.8,0.518,8.2,0.0131,29.0,18.4,0.6313,0.2924,21.817604067,0.001,0.8192
Nebraska,Blaine County,48383.0,174.0,440.7,350.0,0.9328,0.343,21.2,46.666666667,14.5,0.0,5.5,0.0089,84.43614372109570,23.4,0.7953,0.0,10.43956044,0.1843,0.1261
Nebraska,Cuming County,48327.0,174.4,309.0,275.2,0.8004,0.0497,9.9,51.591062965,10.2,0.3887,7.5,0.5269,4.0,22.6,0.078,0.1822,5.8236721488,0.4505,0.0933
Minnesota,Pipestone County,48413.0,175.8,377.9,310.9,0.7163,0.2659,12.5,41.762452107,9.7,0.384,6.7,0.5183,5.0,23.0,0.518,0.1124,10.490956072,0.5769,0.5823
Montana,Madison County,30045.0,176.4,439.8,255.6,0.9666,0.2239,12.9,28.619909502,8.2,0.2802,9.4,0.0267,6.0,12.4,0.2964,0.1611,11.728395062,0.1254,0.3954
Missouri,Ste. Genevieve County,46061.0,180.6,446.5,370.2,0.5441,0.486,11.3,48.428343101,11.9,0.0856,4.9,0.4397,7.0,16.5,0.1888,0.2924,7.5053003534,0.6568,0.0974
Michigan,Leelanau County,30025.0,180.7,633.8,409.4,0.9758,0.0334,12.1,42.878864673,9.3,0.3461,5.2,0.0302,8.0,13.5,0.155,0.4691,10.17699115,0.0933,0.0242
Missouri,Macon County,38075.0,181.1,432.1,462.3,0.8138,0.5127,18.3,48.54368932,13.6,0.1904,10.7,0.5183,5.0,13.9,0.2964,0.3838,7.7713887437,0.9567,0.4514
Minnesota,Crow Wing County,38039.0,182.3,517.6,348.0,0.7947,0.2175,10.9,37.304043934,9.8,0.1254,4.6,0.0834,69.0,22.0,0.1223,0.1035,10.446544377,0.5692,0.2528
Michigan,Grand Traverse County,20075.0,183.2,400.4,310.0,0.5352,0.1949,10.0,36.824662813,11.2,0.2518,6.5,0.0302,123.0,25.4,0.4056,0.3981,11.375761168,0.1506,0.5415
Oregon,Hood River County,26083.0,183.2,321.7,285.8,0.2114,0.1854,10.9,51.785714286,6.6,0.7596,8.4,0.8064,50.0,16.9,0.8911,0.2745,8.9833116345,0.0653,0.9169
Minnesota,Freeborn County,38041.0,183.4,415.1,365.4,0.8093,0.3245,13.1,48.321678322,9.0,0.453,5.3,0.3559,17.0,14.4,0.2203,0.3121,8.2315872391,0.7335,0.3343
Nebraska,Garden County,46107.0,184.0,349.9,353.1,0.9401,0.1341,20.5,65.0,11.7,0.1585,9.9,0.1098,84.43614372109570,18.0,0.043,0.0264,5.376344086,0.3359,0.0287
Minnesota,Hennepin County,48461.0,184.1,453.7,365.9,0.1191,0.2497,10.5,38.760619025,7.7,0.7007,4.9,0.1098,1551.0,36.2,0.7249,0.2745,12.554632219,0.0388,0.822
South Carolina,Beaufort County,16023.0,184.2,413.3,424.9,0.9351,0.2551,14.8,53.20142663,8.1,0.717,10.7,0.1283,133.0,15.8,0.3703,0.5669,13.762254394,0.249,0.6059
Rhode Island,Washington County,46117.0,184.5,425.7,316.7,0.6323,0.1497,9.4,21.20182887,7.4,0.3095,2.6,0.0659,117.0,31.9,0.1223,0.6032,12.087122534,0.0398,0.2687
Utah,Grand County,46111.0,185.0,332.3,317.3,0.3451,0.0997,13.5,38.022113022,13.2,0.5259,17.1,0.2853,12.0,31.0,0.9643,0.5006,15.711947627,0.2697,0.7561
Minnesota,Scott County,20105.0,187.5,575.5,409.7,0.0191,0.0261,4.9,22.208441251,4.6,0.5355,3.7,0.0417,77.0,15.4,0.7065,0.1611,8.0363563724,0.0885,0.2321
North Dakota,Pierce County,38091.0,187.9,415.6,357.4,0.8679,0.6583,12.3,28.502415459,7.8,0.1853,3.1,0.2044,3.0,14.4,0.0172,0.014,18.068887634,0.2509,0.4091
Wisconsin,Green County,20153.0,188.6,353.9,319.4,0.4422,0.0672,8.5,36.868339636,7.7,0.1585,3.7,0.1614,25.0,13.7,0.155,0.0573,9.0332591243,0.2713,0.0764
Iowa,Winnebago County,13125.0,190.1,421.4,340.2,0.7036,0.0997,12.9,36.507258753,8.5,0.2843,2.3,0.2095,5.0,23.3,0.1888,0.3487,5.9377100605,0.4932,0.1751
Florida,Pinellas County,31077.0,190.2,563.6,524.9,0.8873,0.3771,15.8,47.364306119,12.6,0.6422,10.9,0.2607,852.0,13.1,0.4457,0.5344,15.833795372,0.2614,0.8112
Minnesota,Stearns County,2100.0,191.1,423.8,349.3,0.1541,0.3838,11.0,39.324570273,8.9,0.4269,3.6,0.1971,160.0,16.2,0.7434,0.3487,10.696074741,0.1328,0.7806
Wisconsin,Chippewa County,20065.0,195.4,542.1,402.5,0.3763,0.2427,11.8,41.119820829,9.6,0.2015,5.5,0.1614,50.0,19.0,0.4056,0.1611,9.7565755948,0.2856,0.4537
Indiana,Fulton County,46089.0,195.5,380.2,330.8,0.5521,0.443,19.8,49.735262972,12.8,0.277,10.5,0.5269,9.0,19.7,0.1888,0.3487,9.3577257173,0.5164,0.1933
Connecticut,Litchfield County,20165.0,195.7,672.1,567.7,0.6788,0.0497,8.2,38.473198291,10.4,0.3734,3.9,0.1522,105.0,12.7,0.155,0.449,13.988331644,0.0541,0.1573
Vermont,Chittenden County,48295.0,196.3,446.4,358.1,0.1541,0.3,6.8,25.499121186,9.7,0.3782,3.1,0.0659,306.0,32.1,0.3703,0.2054,15.673656119,0.0169,0.7918
Virginia,Goochland County,46003.0,199.4,422.2,317.7,0.7456,0.0146,7.3,26.384116075,6.3,0.596,4.9,0.2744,18.0,45.1,0.1888,0.1484,7.6050620821,0.057,0.1493
New Jersey,Monmouth County,51091.0,200.7,391.6,311.8,0.3451,0.0611,6.4,24.025791105,7.1,0.6304,5.7,0.1098,740.0,22.0,0.3359,0.449,16.290322581,0.0436,0.3126
Pennsylvania,Berks County,48211.0,201.6,478.0,385.2,0.3451,0.3643,14.0,52.083790305,9.4,0.6616,6.0,0.5772,265.0,27.9,0.3359,0.6968,11.978174033,0.4339,0.623
Pennsylvania,Butler County,30051.0,202.4,418.4,385.3,0.4616,0.0936,7.8,25.718546638,8.9,0.1324,3.2,0.049,123.0,18.8,0.0981,0.2745,9.4893684294,0.0564,0.5412
Missouri,Ozark County,46105.0,204.5,537.3,464.7,0.9554,0.9376,32.6,72.06284153,21.8,0.0914,14.9,0.7459,2.0,14.2,0.6313,0.7481,9.0112298001,0.6125,0.3906
Ohio,Putnam County,20129.0,205.5,510.2,424.3,0.3368,0.0414,6.3,33.213944604,9.1,0.2716,3.0,0.1098,19.0,17.4,0.1223,0.1124,5.3732944964,0.1722,0.0108
Arizona,Pima County,53023.0,205.6,547.3,433.8,0.5635,0.6959,20.0,50.826470762,13.3,0.8698,9.2,0.4712,915.0,14.7,0.865,0.7971,14.612485531,0.5689,0.9825
Missouri,Lafayette County,20023.0,206.2,537.2,455.0,0.5113,0.3771,14.3,45.456288344,13.0,0.2716,8.5,0.2964,9.0,18.6,0.518,0.3121,8.8903362371,0.7361,0.5842
New Mexico,Catron County,38011.0,207.2,461.6,630.3,0.9994,0.8729,36.4,86.738351254,17.4,0.5422,10.7,0.0755,1.0,19.5,0.0322,0.0,6.8989547038,0.5116,0.1732
Virginia,Alexandria City,13307.0,208.3,357.3,318.6,0.0315,0.2239,12.7,56.470953712,8.4,0.8717,10.9,0.1614,121.0,21.9,0.8962,0.1611,13.778453494,0.0025,0.7192
North Carolina,Moore County,48105.0,208.6,473.6,384.7,0.8854,0.3497,12.6,38.404280065,12.6,0.603,9.0,0.3114,114.0,37.1,0.3703,0.4691,11.387142567,0.4368,0.3372
Montana,Teton County,13239.0,209.5,336.5,381.7,0.8446,0.3962,14.0,42.696629213,10.5,0.2015,10.6,0.1831,1.0,21.7,0.8456,0.0395,10.617928634,0.5524,0.7383
Minnesota,Grant County,20097.0,210.1,548.1,349.2,0.8641,0.2115,12.7,35.64727955,9.7,0.1047,5.0,0.0898,2.0,23.0,0.0567,0.2455,7.7290836653,0.5575,0.121
Colorado,El Paso County,48191.0,210.5,402.7,359.5,0.0675,0.2427,11.4,36.416180232,10.4,0.6985,7.2,0.0834,449.0,31.9,0.7249,0.6207,14.026499146,0.2646,0.5782
Montana,Broadwater County,20017.0,210.6,520.7,349.3,0.8641,0.0462,13.2,35.239567233,8.9,0.1853,7.2,0.0548,2.0,20.5,0.0134,0.6032,7.1367521368,0.3311,0.0232
Wisconsin,Waupaca County,13101.0,212.5,522.2,430.6,0.6851,0.2312,11.0,39.186668325,9.8,0.1585,5.9,0.2044,29.0,34.9,0.155,0.1369,10.078647088,0.3308,0.3352
Iowa,Dallas County,48243.0,213.8,379.5,331.1,0.0481,0.0274,4.5,21.783249202,5.3,0.453,3.1,0.0267,42.0,20.7,0.4817,0.071,6.7862378201,0.0684,0.1595
Minnesota,Dakota County,20109.0,215.5,491.4,497.4,0.1079,0.0363,5.4,26.78196995,5.8,0.5775,3.5,0.0379,276.0,32.6,0.3359,0.1946,9.0526954412,0.2031,0.1496
New York,Putnam County,38001.0,215.5,427.8,313.5,0.3098,0.0146,5.6,26.264334019,6.0,0.5696,3.7,0.1223,47.0,13.2,0.2203,0.4691,15.940177145,0.0185,0.1773
Wyoming,Sublette County,2275.0,217.7,516.1,358.2,0.3566,0.0997,6.9,22.341772152,12.1,0.3636,14.0,0.0089,4.0,21.9,0.043,0.1717,7.2011661808,0.2687,0.015
North Carolina,Madison County,48275.0,219.2,449.2,383.0,0.7599,0.686,20.0,49.821746881,15.5,0.1802,9.3,0.6383,14.0,32.0,0.4457,0.5172,11.479855372,0.2652,0.5161
California,Sonoma County,40059.0,220.1,474.1,515.0,0.5113,0.2057,8.6,45.054486989,8.7,0.7644,6.1,0.4925,506.0,19.9,0.9296,0.4303,18.20354338,0.0853,0.6472
Minnesota,Wright County,46043.0,220.2,419.5,410.2,0.0567,0.0054,4.4,18.054726193,5.7,0.2474,3.4,0.0522,61.0,21.6,0.4056,0.1484,8.403483009,0.1321,0.1509
South Dakota,Haakon County,38037.0,220.4,471.9,466.0,0.8933,0.3962,17.1,24.852071006,10.1,0.2015,11.0,0.3114,2.0,19.4,0.0567,0.086,6.5040650407,0.8997,0.4476
Kentucky,Webster County,20081.0,220.6,696.3,574.7,0.3664,0.8541,19.3,57.528786537,17.4,0.3922,6.2,0.7966,3.0,16.6,0.7434,0.3981,8.8568935428,0.8045,0.7112
New York,Orange County,38051.0,224.7,457.2,586.8,0.1191,0.3,15.7,44.201340358,9.1,0.7472,4.8,0.3709,266.0,20.1,0.8551,0.3981,18.640549904,0.2044,0.9004
Kentucky,Elliott County,31017.0,225.5,792.0,570.5,0.5352,0.9729,35.5,70.27027027,22.4,0.0611,5.1,0.9032,1.0,24.4,0.0981,0.3634,8.5906040268,0.8131,0.6775
Nebraska,Polk County,31029.0,225.6,952.1,626.9,0.7666,0.0748,9.0,36.889692586,9.9,0.2302,12.0,0.1971,3.0,23.3,0.5498,0.4691,4.4050632911,0.2929,0.2464
Missouri,Carter County,31133.0,227.6,637.2,501.8,0.6323,0.6643,29.8,64.766839378,15.6,0.1585,16.0,0.7383,1.0,15.5,0.7065,0.7481,5.2728106373,0.9978,0.468
Colorado,Gunnison County,20093.0,228.6,836.7,408.1,0.078,0.3908,8.8,22.927522501,10.0,0.4193,9.5,0.0035,16.0,22.2,0.518,0.5481,17.631103074,0.0127,0.5326
New Mexico,Hidalgo County,48129.0,228.8,449.5,382.1,0.7599,0.9567,26.3,90.838509317,16.7,0.9236,4.2,0.8714,2.0,29.9,0.4056,0.9054,11.603243918,0.7908,0.7876
Nebraska,Hayes County,48435.0,229.5,539.2,412.6,0.5021,0.336,20.9,55.284552846,12.5,0.2474,8.3,0.4756,1.0,20.4,0.0,0.014,11.797752809,0.1426,0.0006
New Mexico,Los Alamos County,48023.0,235.3,518.6,422.4,0.419,0.0146,2.8,9.4882729211,7.6,0.6686,3.2,0.0022,29.0,22.8,0.0567,0.1822,3.4695451041,0.0532,0.057
California,San Diego County,46059.0,235.8,657.7,565.3,0.1191,0.343,11.0,50.128703609,9.2,0.8975,7.8,0.5438,2729.0,18.5,0.9602,0.6545,20.404607904,0.0621,0.8411
Maryland,Montgomery County,19003.0,236.0,758.5,658.0,0.185,0.0462,7.6,33.373268711,8.6,0.9054,7.1,0.2413,1468.0,20.5,0.7953,0.3981,14.447812339,0.0764,0.5804
North Dakota,Bottineau County,30091.0,236.8,744.2,634.7,0.8373,0.1949,11.2,34.53724605,6.6,0.2894,3.5,0.2499,2.0,20.9,0.1223,0.2188,7.0997515087,0.2407,0.1363
Arizona,Yavapai County,29129.0,236.9,534.9,438.4,0.9841,0.443,15.2,51.524120869,13.8,0.5536,9.8,0.3209,136.0,30.4,0.6313,0.6968,14.471824495,0.3871,0.5791
Wisconsin,Monroe County,31163.0,239.1,734.6,559.8,0.2983,0.3643,14.2,44.826633513,9.9,0.3165,9.0,0.3209,28.0,17.2,0.4817,0.1946,8.6485253009,0.702,0.638
Minnesota,Clay County,20195.0,239.3,496.2,496.1,0.099,0.2854,8.7,33.652283806,8.5,0.4062,4.1,0.0379,16.0,24.4,0.2964,0.086,13.174892348,0.1051,0.7157
Minnesota,Goodhue County,48103.0,241.3,577.6,449.5,0.5521,0.1812,7.4,27.116512992,7.9,0.2668,5.0,0.0579,36.0,19.1,0.3359,0.2054,10.138998164,0.1964,0.432
Minnesota,Norman County,48229.0,242.4,625.1,500.7,0.7755,0.2057,15.4,46.887550201,8.5,0.3553,6.0,0.2413,84.43614372109570,33.1,0.7065,0.1484,8.0468454855,0.319,0.6113
Nebraska,Jefferson County,40129.0,243.1,542.1,416.0,0.8679,0.3127,11.0,47.313084112,13.6,0.1853,5.6,0.2499,2.0,24.4,0.0229,0.0366,11.505588429,0.7514,0.0793
Maryland,Queen Anne&#39;s County,20207.0,245.9,640.6,363.6,0.4893,0.0197,7.9,27.820710974,9.4,0.4333,4.8,0.1907,17.0,34.9,0.2203,0.1124,11.329807535,0.0643,0.0296
Virginia,Loudoun County,48081.0,246.4,467.1,402.3,0.0067,0.0019,3.1,18.944438446,4.0,0.8297,5.7,0.0942,312.0,25.1,0.4056,0.1822,8.8577249472,0.0662,0.0853
Nevada,Douglas County,13007.0,248.1,461.4,416.6,0.9459,0.1449,11.0,35.276816609,11.1,0.5501,7.8,0.0834,27.0,31.0,0.6622,0.449,12.871769868,0.2658,0.1452
Rhode Island,Bristol County,20047.0,248.1,535.7,386.8,0.6113,0.0672,7.6,20.114352734,7.6,0.2633,2.2,0.3384,98.0,24.4,0.0322,0.1822,15.017839766,0.0528,0.391
Arizona,Coconino County,6091.0,250.3,453.6,402.6,0.0519,0.7417,17.3,42.376642336,14.6,0.8555,11.2,0.3792,116.0,25.1,0.9637,0.7895,15.750422306,0.0366,0.9713
California,Humboldt County,51720.0,250.4,555.4,470.2,0.3566,0.8016,18.8,58.262759082,14.8,0.639,8.2,0.3209,85.0,19.4,0.865,0.8341,21.584379144,0.3225,0.9042
New Mexico,Torrance County,38063.0,250.6,798.8,555.3,0.6113,0.9296,27.6,72.911482403,16.3,0.8733,6.0,0.6129,1.0,23.2,0.7434,0.449,10.718700336,0.2741,0.5486
